,event_timestamp,country_code,country_name,city_code,city_name,zip_code,lat,lon,cam_id,cam_name,cam_additional_location_description,add_id,add_name,add_type,people,views,females,males,mode_age,median_age,negative_emotion,positive_emotion,average_emotion_score,cars,weather,sport_event,social_event,extraordinary_event,storage_blob
66,2023-04-28 10:01:08.287889-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 10:01:07.907171-06:00_frame.jpg
67,2023-04-28 10:31:12.299714-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 10:31:11.923816-06:00_frame.jpg
68,2023-04-28 11:02:03.333705-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 11:02:02.997482-06:00_frame.jpg
69,2023-04-28 11:32:58.764167-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 11:32:58.376203-06:00_frame.jpg
70,2023-04-28 12:04:00.051657-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 12:03:59.704517-06:00_frame.jpg
71,2023-04-28 12:34:25.844198-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 12:34:25.503433-06:00_frame.jpg
72,2023-04-28 13:04:28.885721-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,7,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 13:04:28.459761-06:00_frame.jpg
73,2023-04-28 13:35:26.680437-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 13:35:26.324219-06:00_frame.jpg
74,2023-04-28 14:06:13.458423-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 14:06:13.058728-06:00_frame.jpg
75,2023-04-28 14:36:52.129920-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 14:36:51.770087-06:00_frame.jpg
76,2023-04-28 15:07:32.167206-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,6,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 15:07:31.864111-06:00_frame.jpg
77,2023-04-28 15:37:50.036577-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 15:37:49.689198-06:00_frame.jpg
78,2023-04-28 16:08:42.711906-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 16:08:42.272863-06:00_frame.jpg
79,2023-04-28 16:39:35.419241-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 16:39:35.121558-06:00_frame.jpg
80,2023-04-28 17:10:05.158243-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 17:10:04.800253-06:00_frame.jpg
81,2023-04-28 17:40:26.653588-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 17:40:26.290701-06:00_frame.jpg
82,2023-04-28 18:11:24.705806-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,6,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 18:11:24.411476-06:00_frame.jpg
83,2023-04-28 18:42:05.135469-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 18:42:04.799471-06:00_frame.jpg
84,2023-04-28 19:12:34.889681-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,7,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 19:12:34.514421-06:00_frame.jpg
85,2023-04-28 19:43:12.229492-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,6,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 19:43:11.888212-06:00_frame.jpg
86,2023-04-28 20:13:21.927508-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 20:13:21.581175-06:00_frame.jpg
87,2023-04-28 20:43:24.921103-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 20:43:24.612463-06:00_frame.jpg
88,2023-04-28 21:13:33.046427-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 21:13:32.629993-06:00_frame.jpg
89,2023-04-28 21:44:05.040821-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 21:44:04.724277-06:00_frame.jpg
90,2023-04-29 08:05:13.926735-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-29 08:05:13.524567-06:00_frame.jpg
