,event_timestamp,country_code,country_name,city_code,city_name,zip_code,lat,lon,cam_id,cam_name,people,storage_blob
52,2024-04-16 02:59:52.511128+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-27 20:59:52.215328-06:00_frame.jpg
53,2024-04-16 03:33:35.772995+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 21:33:35.438552-06:00_frame.jpg
54,2024-04-16 14:00:25.918380+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-28 08:00:25.578819-06:00_frame.jpg
55,2024-04-16 14:33:52.372944+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-28 08:33:52.031100-06:00_frame.jpg
56,2024-04-16 15:07:50.024935+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-28 09:07:49.686003-06:00_frame.jpg
57,2024-04-16 15:42:03.677754+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-28 09:42:03.306596-06:00_frame.jpg
58,2024-04-16 16:15:53.456872+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-28 10:15:53.132686-06:00_frame.jpg
59,2024-04-16 16:50:41.641693+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-28 10:50:41.289376-06:00_frame.jpg
60,2024-04-16 17:25:01.845788+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-28 11:25:01.454096-06:00_frame.jpg
61,2024-04-16 17:59:32.251663+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-28 11:59:31.915460-06:00_frame.jpg
62,2024-04-16 18:33:22.181881+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-28 12:33:21.865762-06:00_frame.jpg
63,2024-04-16 19:06:48.914294+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-28 13:06:48.575490-06:00_frame.jpg
64,2024-04-16 19:41:03.382338+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-28 13:41:03.080863-06:00_frame.jpg
65,2024-04-16 20:15:33.950306+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-28 14:15:33.624548-06:00_frame.jpg
66,2024-04-16 20:49:30.302721+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-28 14:49:29.964480-06:00_frame.jpg
67,2024-04-16 21:23:23.103249+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2023-04-28 15:23:22.795995-06:00_frame.jpg
68,2024-04-16 21:57:23.388603+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-28 15:57:23.055327-06:00_frame.jpg
69,2024-04-16 22:31:33.189847+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,7,MX/cafe calaverita/2023-04-28 16:31:32.893051-06:00_frame.jpg
70,2024-04-16 23:05:32.728040+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2023-04-28 17:05:32.407287-06:00_frame.jpg
71,2024-04-16 23:39:16.978293+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-28 17:39:16.649612-06:00_frame.jpg
72,2024-04-17 00:13:38.688981+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2023-04-28 18:13:38.352865-06:00_frame.jpg
73,2024-04-17 00:47:37.941869+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-28 18:47:37.525797-06:00_frame.jpg
74,2024-04-17 01:21:30.263754+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-28 19:21:29.964176-06:00_frame.jpg
75,2024-04-17 01:56:01.221839+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-28 19:56:00.907391-06:00_frame.jpg
76,2024-04-17 02:30:44.788145+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-28 20:30:44.459545-06:00_frame.jpg
77,2024-04-17 03:04:38.594621+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-28 21:04:38.269372-06:00_frame.jpg
78,2024-04-17 03:38:27.356426+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-28 21:38:27.053735-06:00_frame.jpg
79,2024-04-17 14:15:33.585536+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 08:15:33.277230-06:00_frame.jpg
80,2024-04-17 14:52:28.103550+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 08:52:27.812951-06:00_frame.jpg
81,2024-04-17 15:26:37.334983+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2023-04-29 09:26:37.027977-06:00_frame.jpg
82,2024-04-17 16:00:57.770153+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2023-04-29 10:00:57.421167-06:00_frame.jpg
83,2024-04-17 16:35:08.872742+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-29 10:35:08.547254-06:00_frame.jpg
84,2024-04-17 17:10:01.662751+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-29 11:10:01.238651-06:00_frame.jpg
85,2024-04-17 17:44:25.828172+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 11:44:25.508182-06:00_frame.jpg
86,2024-04-17 18:19:16.955421+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-29 12:19:16.642962-06:00_frame.jpg
87,2024-04-17 18:52:46.410731+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,8,MX/cafe calaverita/2023-04-29 12:52:46.121766-06:00_frame.jpg
88,2024-04-17 19:26:42.630257+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-29 13:26:42.247344-06:00_frame.jpg
89,2024-04-17 20:00:47.316046+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-29 14:00:46.990901-06:00_frame.jpg
90,2024-04-17 20:34:49.134189+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 14:34:48.840192-06:00_frame.jpg
91,2024-04-17 21:09:00.425533+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-29 15:09:00.122937-06:00_frame.jpg
92,2024-04-17 21:42:55.534048+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 15:42:55.210384-06:00_frame.jpg
93,2024-04-17 22:17:03.670954+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-29 16:17:03.355520-06:00_frame.jpg
94,2024-04-17 22:51:04.683363+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 16:51:04.354464-06:00_frame.jpg
95,2024-04-17 23:24:41.577779+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 17:24:41.236703-06:00_frame.jpg
96,2024-04-17 23:58:50.006113+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 17:58:49.651334-06:00_frame.jpg
97,2024-04-18 00:33:01.998363+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-29 18:33:01.696508-06:00_frame.jpg
